WM,Group,SC,n,uppersize,lowersize,GMS,biomass,log10BM,log2BM,NormBio,Log2Size,Log10Size,log10Normbio
NCC,Zooplankton,0.000001-0.000008g,1,0.008181231,0.001022654,0.002892502,13.94616,1.144454643,3.801796033,1948.174893,-17.72932561,-2.538726345,3.289627942
NCC,Zooplankton,0.000008-0.000065g,1,0.065449847,0.008181231,0.023140015,14.70184,1.167371692,3.877924821,256.7172215,-14.72932565,-1.635636358,2.409455004
NCC,Zooplankton,0.000065-0.000524g,1,0.523598776,0.065449847,0.185120122,3.098599,0.491165376,1.631616063,6.763300766,-11.72932565,-0.732546371,0.830158701
NCC,Zooplankton,0.000524-0.004189g,1,4.188790205,0.523598776,1.480960979,15.00556,1.176252208,3.907425255,4.094072653,-8.729325654,0.170543616,0.612155545
NCC,Zooplankton,0.004189-0.03351g,1,33.51032164,4.188790205,11.84768784,4.043316,0.606737684,2.01553896,0.137895799,-5.729325654,1.073633603,-0.860448965
NWC,Zooplankton,0.000001-0.000008g,1,0.008181231,0.001022654,0.002892502,13.22583,1.121422936,3.725286358,1847.550146,-17.72932561,-2.538726345,3.266596235
NWC,Zooplankton,0.000008-0.000065g,1,0.065449847,0.008181231,0.023140015,16.32787,1.212929534,4.029264696,285.1102596,-14.72932565,-1.635636358,2.455012846
NWC,Zooplankton,0.000065-0.000524g,1,0.523598776,0.065449847,0.185120122,0.621765,-0.206373729,-0.685558687,1.357124204,-11.72932565,-0.732546371,0.132619596
NWC,Zooplankton,0.000524-0.004189g,1,4.188790205,0.523598776,1.480960979,6.314744,0.800355749,2.658724248,1.722896095,-8.729325654,0.170543616,0.236259087
NWC,Zooplankton,0.004189-0.03351g,1,33.51032164,4.188790205,11.84768784,1.906,0.280122896,0.930548119,0.065003426,-5.729325654,1.073633603,-1.187063753
SCC,Zooplankton,0.000001-0.000008g,1,0.008181231,0.001022654,0.002892502,23.38719024,1.368978048,4.54764664,3267.016648,-17.72932561,-2.538726332,3.514151348
SCC,Zooplankton,0.000008-0.000065g,1,0.065449847,0.008181231,0.023140015,32.06108182,1.505978172,5.002751201,559.8368541,-14.72932565,-1.635636364,2.748061485
SCC,Zooplankton,0.000065-0.000524g,1,0.523598776,0.065449847,0.185120122,19.52083589,1.29049841,4.286942926,42.60805745,-11.72932565,-0.732546372,1.629491735
SCC,Zooplankton,0.000524-0.004189g,1,4.188790205,0.523598776,1.480960979,29.45944781,1.469224602,4.880658484,8.037628697,-8.729325654,0.170543616,0.90512794
SCC,Zooplankton,0.004189-0.03351g,1,33.51032164,4.188790205,11.84768784,5.270348965,0.721839372,2.39789849,0.179743305,-5.729325654,1.073633603,-0.745347277
SWC,Zooplankton,0.000001-0.000008g,1,0.008181231,0.001022654,0.002892502,52.79970268,1.722631477,5.7224579,7375.726024,-17.72932561,-2.538726332,3.867804776
SWC,Zooplankton,0.000008-0.000065g,1,0.065449847,0.008181231,0.023140015,4.619887405,0.664631391,2.207857691,80.67049158,-14.72932565,-1.635636364,1.906714703
SWC,Zooplankton,0.000065-0.000524g,1,0.523598776,0.065449847,0.185120122,2.792474212,0.445989171,1.481543958,6.095123301,-11.72932565,-0.732546372,0.784982496
SWC,Zooplankton,0.000524-0.004189g,1,4.188790205,0.523598776,1.480960979,6.256108257,0.796304255,2.645265477,1.706898092,-8.729325654,0.170543616,0.232207593
SWC,Zooplankton,0.004189-0.03351g,1,33.51032164,4.188790205,11.84768784,5.220444047,0.717707445,2.384172527,0.178041316,-5.729325654,1.073633603,-0.749479204
